Question,A,B,C,D,Correct
Rủi ro lớn nhất khi doanh nghiệp chọn chứng thực hợp đồng thay vì công chứng (khi được lựa chọn) là gì?,Chi phí chứng thực cao hơn.,Thủ tục chứng thực phức tạp hơn.,Hợp đồng có thể chứa nội dung bất lợi hoặc không hợp pháp mà không được phát hiện.,Khó tìm được UBND xã để thực hiện.,C
Điểm mớ i quan trọng nhất của Luật Công chứng 2024 là gì?,Tăng lệ phí công chứng.,Bỏ hoàn toàn Văn phòng công chứng.,Quy định về công chứng điện tử.,Yêu cầu công chứng viên phải là Thẩm phán.,C
Công chứng điện tử trực tuyến (theo Luật Công chứng 2024) cho phép điều gì?,Các bên chỉ cần gửi hồ sơ qua email cho công chứng viên.,Các bên không cần có mặt tại cùng địa điểm mà giao kết qua phương tiện trực tuyến dưới sự chứng kiến của công chứng viên.,Công chứng viên tự động tạo hợp đồng bằng phần mềm.,Chỉ áp dụng cho hợp đồng có giá trị dưới 100 triệu đồng.,B
Luật Công chứng 2024 có thay đổi gì về việc công chứng bản dịch?,Cho phép công chứng viên tự dịch và công chứng.,Tăng phí công chứng bản dịch.,Công chứng viên không còn công chứng bản dịch mà chỉ chứng thực chữ ký người dịch.,Yêu cầu bản dịch phải được Đại sứ quán xác nhận trước khi công chứng.,C
Lợi ích chính của công chứng điện tử đối với doanh nghiệp bất động sản là gì?,Giảm yêu cầu về năng lực tài chính của doanh nghiệp.,"Tiết kiệm thời gian, chi phí đi lại, tăng tốc độ giao dịch.",Miễn hoàn toàn phí công chứng.,Không cần phải nộp thuế thu nhập doanh nghiệp.,B
Thách thức lớn nhất khi triển khai công chứng điện tử là gì?,Thiếu công chứng viên biết sử dụng máy tính.,"Đảm bảo an ninh mạng, bảo mật dữ liệu và xác thực chính xác người tham gia trực tuyến.",Người dân không muốn sử dụng công nghệ.,Chi phí giấy và mực in tăng cao.,B
"""Công chứng treo"" là thuật ngữ thường dùng để chỉ tình trạng nào?",Công chứng hợp đồng trên tầng cao nhất của tòa nhà.,Hồ sơ công chứng bị tạm dừng do thiếu giấy tờ.,Các bên đã ký hợp đồng nhưng công chứng viên chưa ký/đóng dấu chờ hoàn thiện thủ tục/giấy tờ.,Hợp đồng được công chứng bằng mực tàng hình.,C
"Rủi ro nào thường gặp nhất đối với hợp đồng đặt cọc mua BĐS, kể cả khi có công chứng?",Công chứng viên thu phí đặt cọc quá cao.,Bên bán không giao BĐS đúng hạn.,Đặt cọc trá hình huy động vốn cho dự án chưa đủ điều kiện hoặc đặt cọc qua môi giới không ràng buộc được chủ đầu tư.,Hợp đồng đặt cọc quá dài.,C
Hình thức giải quyết tranh chấp nào yêu cầu phải có thỏa thuận trước của các bên?,Tòa án nhân dân.,Trọng tài thương mại.,Hòa giải tại UBND xã.,Khiếu nại lên Sở Tư pháp.,B
Nhược điểm của giải quyết tranh chấp bằng Trọng tài thương mại là gì?,Thời gian giải quyết quá dài.,Phán quyết không có giá trị thi hành.,"Phải có thỏa thuận trọng tài thương mại; phạm vi áp dụng còn hạn chế, một số loại tranh chấp không được giải quyết bằng trọng tài; phán quyết trọng tài có thể bị hủy bởi tòa án",Chỉ giải quyết được tranh chấp giữa các cá nhân.,C
Tại sao doanh nghiệp nên cân nhắc đưa điều khoản lựa chọn Trọng tài thương mại vào hợp đồng kinh doanh BĐS?,Để thể hiện sự giàu có của doanh nghiệp.,"Để có phương thức giải quyết tranh chấp nhanh chóng, bảo mật, chuyên môn cao khi cần thiết.",Vì Tòa án không giải quyết tranh chấp BĐS.,Để tránh phải công chứng hợp đồng.,B
"Khi  một doanh nghiệp Việt Nam giao dịch BĐS với đối tác từ Mỹ (Common Law), doanh nghiệp cần lưu ý điều gì?",Vai trò của công chứng viên Mỹ rất quan trọng trong việc đảm bảo nội dung hợp đồng.,Vai trò của luật sư đại diện cho mỗi bên là then chốt trong thẩm định và đàm phán.,Không cần phải ký hợp đồng bằng văn bản.,Chỉ cần tuân theo pháp luật Việt Nam.,B
Mục đích của việc xây dựng Cơ sở dữ liệu công chứng quốc gia là gì?,Để công chứng viên tra cứu thông tin cá nhân của khách hàng.,Để thu phí sử dụng dữ liệu từ người dân.,"Để phục vụ tra cứu, ngăn chặn giao dịch bất hợp pháp (giao dịch hai lần, tài sản bị ngăn chặn), tăng an toàn giao dịch.",Để thay thế hoàn toàn vai trò của công chứng viên.,C
Yêu cầu về thời gian đào tạo nghề công chứng trong Luật Công chứng 2024 như thế nào đối với các luật sư có kinh nghiệm?,Luật sư từ 5 năm kinh nghiệm trở lên vẫn được miễn đào tạo như trước.,Luật sư từ 10 năm kinh nghiệm mới được miễn đào tạo.,Luật sư có kinh nghiệm hành nghề từ đủ 5 năm trở lên vẫn phải tham gia khóa đào tạo nghề công chứng 6 tháng.,Chỉ cần tham gia khóa bồi dưỡng ngắn hạn thay vì đào tạo.,C
Giá trị pháp lý của văn bản công chứn g điện tử theo Luật Công chứng 2024 so với văn bản công chứng giấy là như thế nào?,Thấp hơn văn bản giấy.,Cao hơn văn bản giấy.,Tương đương văn bản giấy.,Chỉ có giá trị khi được in ra và đóng dấu.,C
Điều kiện tiên quyết để có thể giải quyết tranh chấp hợp đồng kinh doanh BĐS bằng Trọng tài thương mại là gì?,Giá trị tranh chấp phải trên 10 tỷ đồng.,Các bên phải có quốc tịch khác nhau.,Các bên phải có thỏa thuận trọng tài hợp lệ.,Tranh chấp phải liên quan đến yếu tố nước ngoài.,C
Việc xét xử tại T rọng tài thương mại có tính chất công khai hay không công khai?,Luôn luôn công khai.,Luôn luôn không công khai.,"Không công khai, trừ trường hợp các bên có thỏa thuận khác.","Công khai, trừ trường hợp liên quan đến bí mật nhà nước.",C
"Khi thực hiện công chứng điện tử trực tuyến, làm thế nào để đảm bảo tính toàn vẹn của văn bản điện tử sau khi ký?",In ra giấy và ký nháy.,Sử dụng chữ ký số và dịch vụ cấp dấu thời gian.,Gửi email xác nhận giữa các bên.,Lưu trữ trên nhiều thiết bị khác nhau.,B
Biện pháp nào giúp giảm thiểu rủi ro cho khách hàng khi ký Hợp đồng đặt cọc mua BĐS hình thành trong tương lai?,Yêu cầu công chứng Hợp đồng đặt cọc với giá trị cao.,Chỉ ký Hợp đồng đặt cọc trực tiếp với chủ đầu tư và yêu cầu xem hồ sơ pháp lý dự án chứng minh đủ điều kiện huy động vốn/bán hàng.,Chuyển tiền đặt cọc qua tài khoản của công chứng viên.,Yêu cầu môi giới cam kết bằng văn bản.,B
"Nếu một Văn phòng công chứng gây thiệt hại cho doanh nghiệp do lỗi của công chứng viên, trách nhiệm bồi thường thuộc về ai?",Chỉ công chứng viên gây ra lỗi.,Văn phòng công chứng nơi công chứng viên đó hành nghề (và tổ chức này có thể yêu cầu công chứng viên hoàn trả).,Sở Tư pháp nơi VPCC đăng ký hoạt động.,Hiệp hội công chứng viên Việt Nam.,B
Hòa giải thành trong quá trình tố tụng trọng tài thương mại có giá trị pháp lý như thế nào?,Chỉ có giá trị tham khảo cho các bên.,Có giá trị như một thỏa thuận dân sự thông thường.,Quyết định công nhận hòa giải thành có giá trị như phán quyết trọng tài,Cần phải được Tòa án phê duyệt mới có hiệu lực.,C
"Theo Luật Công chứng 2024, Chính phủ sẽ quy định Danh mục các giao dịch bắt buộc công chứng dựa trên tiêu chí nào?",Giá trị giao dịch.,Loại hình tài sản giao dịch.,"Tính chất quan trọng, đòi hỏi mức độ an toàn pháp lý cao của giao dịch.",Số lượng các bên tham gia giao dịch.,C
Việc công chứng Hợp đồng góp vốn bằng BĐS giữa một doanh nghiệp và một cá nhân có bắt buộc theo Luật Đất đai 2024 không?,Bắt buộc.,Không bắt buộc nếu doanh nghiệp là doanh nghiệp kinh doanh bất động sản..,Không bắt buộc trong mọi trường hợp.,Chỉ bắt buộc nếu cá nhân góp vốn.,A

=== CHỦ ĐỀ: CĐ7-Luat DN (dap an) ===,-,-,-,-,-
Hoạt động Kinh doanh bất động sản (BĐS) tại Việt Nam chịu sự điều chỉnh của những luật cốt lõi nào?,Chỉ Luật kinh doanh bất động sản.,"Luật kinh doanh bất động sản, Luật Doanh nghiệp, Luật Đầu tư, Luật Đất đai, Luật Nhà ở.",Chỉ Luật Đất đai và Luật Nhà ở.,Luật Doanh nghiệp và Luật Đầu tư.,B
Vai trò chính của Văn bản hợp nhất (VBHN) trong hệ thống pháp luật BĐS là gì?,Thay thế hoàn toàn văn bản gốc khi áp dụng pháp luật.,"Tổng hợp nội dung luật gốc và luật sửa đổi, giúp tra cứu thuận tiện hơn.",Chỉ dành cho các luật sư tham khảo.,Có giá trị pháp lý cao hơn luật gốc.,B
"Luật nào quy định cụ thể về các loại Bất động sản được đưa vào kinh doanh, điều kiện đối với tổ chức, cá nhân kinh doanh bất động sản?",Luật Doanh nghiệp 2020.,Luật Đầu tư 2020.,Luật kinh doanh bất động sản 2023.,Luật Đất đai 2024.,C
Luật Nhà ở 2023.,Luật Đất đai 2024.,Luật kinh doanh bất động sản 2023.,Luật Doanh nghiệp 2020.,,C
"Theo Luật kinh doanh bất động sản 2023, yêu cầu bắt buộc đối với tổ chức, cá nhân khi kinh doanh BĐS (trừ trường hợp quy mô nhỏ) là gì?",Chỉ cần có vốn.,Phải thành lập doanh nghiệp hoặc hợp tác xã/liên hiệp HTX và đăng ký ngành nghề kinh doanh bất động sản.,Chỉ cần đăng ký thuế cá nhân.,Phải là nhà đầu tư nước ngoài.,B
Loại hình doanh nghiệp nào mà thành viên chịu trách nhiệm hữu hạn trong phạm vi vốn góp và không được phát hành cổ phần?,​Công ty Cổ phần.,Doanh nghiệp Tư nhân.,Công ty Hợp danh.,Công ty Trách nhiệm hữu hạn,D
"Loại hình doanh nghiệp nào phù hợp nhất cho các dự án BĐS quy mô lớn, cần huy động vốn từ đông đảo công chúng qua thị trường chứng khoán?",Doanh nghiệp Tư nhân.,Công ty TNHH một thành viên.,Công ty Cổ phần.,Công ty Hợp danh.,C
Công ty Cổ phần.,Công ty TNHH.,Doanh nghiệp Tư nhân.,Công ty Hợp danh (đối với thành viên góp vốn).,,B
Loại hình Công ty Hợp danh có đ ặc điểm gì về trách nhiệm của thành viên?,Tất cả thành viên đều chịu trách nhiệm hữu hạn.,Tất cả thành viên đều chịu trách nhiệm vô hạn.,"Thành viên hợp danh chịu trách nhiệm vô hạn, thành viên góp vốn chịu trách nhiệm hữu hạn.","Thành viên hợp danh chịu trách nhiệm hữu hạn, thành viên góp vốn chịu trách nhiệm vô hạn.",C
"Luật kinh doanh bất động sản 2023 ghi nhận chủ thể nào, bên cạnh doanh nghiệp, được phép kinh doanh BĐS?",Chỉ tổ chức phi chính phủ.,Hộ kinh doanh cá thể.,"Hợp tác xã, liên hiệp hợp tác xã.",Quỹ đầu tư.,C
Cơ quan nào có thẩm quyền cấp Giấy chứng nhận đăng ký doanh nghiệp (GCNĐKDN)?,Ủy ban nhân dân cấp xã.,Bộ Tài chính.,Phòng Đăng ký kinh doanh thuộc Sở Tài chính.,Cơ quan thuế.,C
"Sau khi được cấp Giấy chứng nhận đăng ký doanh nghiệp, doanh nghiệp có nghĩa vụ gì tiếp theo liên quan đến công bố thông tin?",Không cần làm gì thêm.,Thông báo trên báo giấy địa phương.,Thông báo công khai nội dung đăng ký trên Cổng thông tin quốc gia về đăng ký doanh nghiệp trong 30 ngày.,Chỉ cần thông báo cho cơ quan thuế.,C
Hồ sơ đăng ký thành lập công ty cổ phần cần có những giấy tờ chính nào?,Chỉ cần Giấy đề nghị đăng ký và Điều lệ.,"Giấy đề nghị đăng ký, Điều lệ công ty, Danh sách cổ đông sáng lập, Bản sao giấy tờ pháp lý của cổ đông và người đại diện theo pháp luật.",Chỉ cần danh sách cổ đông và giấy tờ tùy thân.,Chỉ cần Điều lệ và giấy ủy quyền.,B
"Khi đăng ký ngành, nghề kinh doanh, doanh nghiệp phải tuân thủ hệ thống nào?",Hệ thống tiêu chuẩn ISO.,Hệ thống ngành kinh tế Việt Nam (VSIC 2018).,Danh mục do Phòng Đăng ký kinh doanh tự quy định.,Danh mục do doanh nghiệp tự đặt ra.,B
Thủ tục nào theo Luật Đầu tư 2020 thường áp dụng cho các dự án BĐS quy mô lớn?,Chỉ cần xin Giấy phép xây dựng.,Chấp thuận chủ trương đầu tư.,Chỉ cần đăng ký kinh doanh.,Chỉ cần thẩm định giá đất.,B
"Nguồn vốn nào được coi là n ền tảng, thể hiện năng lực tài chính thực sự của chủ đầu tư dự án BĐS?",Vốn vay ngân hàng.,Vốn huy động từ khách hàng.,Vốn chủ sở hữu (VCSH).,Vốn phát hành trái phiếu.,C
Công ty cổ phần có thể lựa chọn những mô hình tổ chức quản lý nào theo Luật Doanh nghiệp 2020?,"Chỉ có mô hình bao gồm ĐHĐCĐ, HĐQT, Giám đốc/TGĐ.","Chỉ có mô hình bao gồm ĐHĐCĐ, HĐQT, Ban Kiểm soát, Giám đốc/TGĐ.",Một trong hai mô hình: (1) Có Ban Kiểm soát hoặc (2) Không có Ban Kiểm soát nhưng HĐQT phải có thành viên độc lập và Ủy ban kiểm toán.,Chỉ có mô hình do chủ tịch HĐQT quyết định.,C
Doanh nghiệp kinh doanh BĐS phải công khai thông tin trên những kênh nào?,Chỉ trên website của doanh nghiệp.,Chỉ tại trụ sở Ban quản lý dự án.,Đồng thời trên Hệ thống thông tin về nhà ở và thị trường BĐS của Bộ Xây dựng và trang thông tin điện tử của doanh nghiệp (và tại trụ sở BQLDA/sàn giao dịch nếu có).,Chỉ trên báo chí trung ương.,C
"Điều kiện nào sau đây là bắt buộc đối với nhà ở, công trình xây dựng có sẵn được đưa vào kinh doanh?",Phải là công trình mới xây.,"Phải có Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất (GCN).",Không cần đảm bảo phòng cháy chữa cháy.,Có thể đang trong tình trạng tranh chấp.,B
Lý do chính đằng sau việc Luật kinh doanh bất động sản 2023 bắt buộc thành lập doanh nghiệp/HTX khi kinh doanh bất động sản (trừ quy mô nhỏ) là gì?,Tăng nguồn thu thuế cho nhà nước.,"Chuyên nghiệp hóa thị trường, nâng cao trách nhiệm chủ thể, tăng cường quản lý nhà nước và bảo vệ khách hàng.",Hạn chế số lượng người tham gia thị trường BĐS.,Tạo điều kiện cho các doanh nghiệp lớn thâu tóm thị trường.,B
Ưu điểm chính của loại hình Công ty trách nhiệm hữu hạn so với công ty cổ phần khi thực hiện dự án BĐS quy mô vừa và nhỏ là gì?,Khả năng huy động vốn đại chúng tốt hơn.,Trách nhiệm vô hạn của thành viên.,Cơ cấu tổ chức quản lý và điều hành thường đơn giản hơn.,Được miễn thuế thu nhập doanh nghiệp.,C
Vốn chủ sở hữu (VCSH) của doanh nghiệp KINH DOANH BẤT ĐỘNG SẢN qua dự án được xác định dựa trên cơ sở nào theo Nghị định 96/2024/NĐ-CP?,Vốn điều lệ ghi trong Giấy chứng nhận đăng ký doanh nghiệp.,Báo cáo tài chính đã được kiểm toán gần nhất hoặc vốn điều lệ đã góp (đối với DN mới thành lập dưới 12 tháng).,Tổng tài sản của doanh nghiệp.,Lợi nhuận sau thuế của năm gần nhất.,B
"Việc thay đổi từ yêu cầu vốn pháp định san g các tỷ lệ tài chính động (VCSH/Tổng VĐT, Dư nợ/VCSH) nh ằm mục đích chính là gì?",Giảm yêu cầu về vốn cho doanh nghiệp.,"Giám sát sức khỏe tài chính của doanh nghiệp trong suốt quá trình triển khai dự án, hạn chế chủ đầu tư yếu kém.",Khuyến khích doanh nghiệp vay nợ nhiều hơn.,Đơn giản hóa thủ tục hành chính.,B
"Theo Luật kinh doanh bất động sản năm 2023, trường hợp các cá nhân mua bán  nhà ở với nhau thì hợp đồng mua bán đó có cần công chứng, chứng thực không ?",Không cần thiết.,Bắt buộc phải công chứng hoặc chứng thực.,Chỉ cần nếu giá trị giao dịch lớn.,Tùy thỏa thuận giữa các bên.,B
"Theo Luật Doanh nghiệp 2020, việc thông báo mẫu dấu với cơ quan đăng ký kinh doanh trước khi sử dụng có còn bắt buộc không?",Vẫn bắt buộc.,Chỉ bắt buộc đối với CTCP.,"Đã được bãi bỏ, doanh nghiệp tự quyết định và quản lý con dấu.",Chỉ bắt buộc đối với doanh nghiệp có vốn nhà nước.,C
Danh sách cổ đông sáng lập.,Danh sách thành viên công ty.,Danh sách Ban kiểm soát.,Danh sách khách hàng tiềm năng.,,A
Luật Doanh nghiệp và Luật kinh doanh BĐS.,Luật Đầu tư và Luật Đất đai.,Luật Nhà ở và Luật Xây dựng.,Luật Thuế và Luật Chứng khoán.,,A
"Trong mô hình quản trị công ty cổ phần không có Ban Kiểm soát riêng, Ủy ban kiểm toán trực thuộc cơ quan nào?",Đại hội đồng cổ đông.,Giám đốc/Tổng giám đốc.,Hội đồng quản trị.,Một cơ quan độc lập bên ngoài công ty.,C
"Quyền quyết định các vấn đề chiến lược, cơ cấu vốn, bầu/bãi nhiệm thành viên Hội đồng quản trị/ Ban kiểm soát trong Công ty cổ phần thuộc về cơ quan nào?",Hội đồng quản trị.,Ban kiểm soát/Ủy ban kiểm toán.,Giám đốc/Tổng giám đốc.,Đại hội đồng cổ đông.,D
"Nghĩa vụ bảo hành đối với n hà ở, công trình xây dựng đã bán, cho thuê mua của doanh nghiệp kinh doanh bất động sản được quy định chính ở đâu?",Chỉ trong hợp đồng mua bán.,Theo quy định của Luật kinh doanh bất động sản 2023.,Theo quy định của pháp luật về xây dựng và nhà ở.,Theo quyết định của chủ đầu tư.,C
"Việc công khai thông tin về tình trạng giao dịch (số lượng sản phẩm đã bán, còn lại) nhằm mục đích gì?",Giúp doanh nghiệp tăng giá bán.,Cung cấp thông tin minh bạch cho thị trường và người mua về tiến độ bán hàng thực tế của dự án.,Che giấu số lượng sản phẩm tồn kho.,Chỉ là thủ tục hình thức.,B
Doanh nghiệp muốn Kinh doanh bất động sản phải thỏa mãn điều kiện nào sau đây?,Có giấy phép xây dựng,Có vốn pháp định từ 20 tỷ trở lên,Đăng ký ngành nghề Kinh doanh bất động sản,Có hợp đồng mua bán mẫu,C
Doanh nghiệp tư nhân có được phép Kinh doanh bất động sản không?,"Có, nếu đăng ký ngành nghề Kinh doanh bất động sản","Không, vì không có tư cách pháp nhân",Chỉ khi được Nhà nước cấp giấy phép riêng,"Có, nhưng chỉ được môi giới",A
"Theo Luật Doanh nghiệp 2020, cá nhân nào dưới đây có quyền thành lập doanh nghiệp  Kinh doanh bất động sản?",Người chưa đủ 18 tuổi,Người đang bị cấm hành nghề theo bản án có hiệu lực,"Cán bộ, công chức, viên chức","Người đủ 18 tuổi trở lên, có đầy đủ năng lực hành vi dân sự, không bị cấm bởi pháp luật",D
"Tổ chức, cá nhân có thể góp vốn bằng hình thức nào để thành lập doanh nghiệp Kinh doanh bất động sản?",Chỉ bằng tiền mặt,"Bằng tiền, QSD đất, tài sản khác",Chỉ bằng quyền sử dụng đất,Chỉ bằng tài sản gắn liền với đất,B
30 ngày,60 ngày,90 ngày,180 ngày,,B
Doanh nghiệp Kinh doanh bất động sản phải thực hiện bước nào sau đây để được hoạt động hợp pháp?,Đăng ký ngành nghề tại Sở Xây dựng,Có chứng chỉ hành nghề bất động sản,Đăng ký ngành nghề “Kinh doanh BĐS”,Xin giấy phép kinh doanh riêng về BĐS,C
Trường hợp nào sau đây là đúng theo trình tự thành lập doanh nghiệp Kinh doanh BĐS?,Ký hợp đồng mua bán nhà → thành lập doanh nghiệp,Nộp hồ sơ đăng ký doanh nghiệp → được cấp Giấy đăng ký doanh nghiệp → công bố nội dung đăng ký,Nộp thuế trước → thành lập doanh nghiệp sau,Ký hợp đồng thuê trụ sở → hoạt động kinh doanh ngay,B
"Trong thời hạn bao lâu kể từ ngày nhận hồ sơ hợp lệ, Phòng Đăng ký kinh doanh phải cấp Giấy chứng nhận đăng ký doanh nghiệp?",01 ngày làm việc,03 ngày làm việc,05 ngày làm việc,07 ngày làm việc,B
Doanh nghiệp tư nhân có được phép Kinh doanh bất động sản hay không?,"Có, nếu đáp ứng điều kiện về ngành nghề","Không, vì chỉ công ty cổ phần và TNHH mới được phép","Có, nhưng phải có vốn pháp định 20 tỷ đồng trở lên","Không, vì doanh nghiệp tư nhân không có tư cách pháp nhân",A
Chủ doanh nghiệp tư nhân có thể đồng thời là chủ của doanh nghiệp tư nhân khác không?,"Có, nếu doanh nghiệp hoạt động ở ngành nghề khác","Có, nếu doanh nghiệp thứ hai hoạt động ở địa bàn khác","Không, theo quy định Luật Doanh nghiệp 2020","Có, nếu ủy quyền điều hành cho người khác",C
Công ty TNHH 2 thành viên có tư cách pháp nhân kể từ khi nào?,Ngày nộp hồ sơ đăng ký,Ngày nộp thuế môn bài,Ngày được cấp Giấy chứng nhận đăng ký doanh nghiệp,Ngày bắt đầu hoạt động thực tế,C
"Khi thành lập công ty TNHH 2 thành viên trở lên để Kinh doanh bất động sản, phải có ít nhất bao nhiêu thành viên góp vốn?",1,2,3,Không giới hạn,B
Cổ đông công ty cổ phần chịu  trách nhiệm đối với các khoản nợ và nghĩa vụ tài sản của công ty như thế nào?,Bằng toàn bộ tài sản cá nhân,Theo tỷ lệ chia cổ tức,Trong phạm vi số cổ phần đã góp,Theo thỏa thuận trong điều lệ,C
Công ty cổ phần có thể huy động vốn bằng cách nào sau đây?,Vay từ ngân hàng,Phát hành cổ phiếu,Góp vốn liên doanh,Tất cả các hình thức trên,D

"=== CHỦ ĐỀ: CĐ8-Phi, le phi va thue BDS (dap an) ===",-,-,-,-,-
"Trong giao dịch mua bán nhà đất giữa vợ và chồng (quan hệ hôn nhân), loại thuế nào được miễn theo quy định?",Thuế thu nhập cá nhân,Thuế giá trị gia tăng,Thuế sử dụng đất phi nông nghiệp,Thuế môn bài,A
"Đối với hoạt động kinh doanh bất động sản, thuế giá trị gia tăng thường áp dụng mức thuế suất nào?",5%,10%,15%,20%,B
Thuế sử dụng đất  phi nông nghiệp đối với đất ở theo quy định hiện hành được tính theo mức nào sau đây?,"Từ 0,01% đến 0,03%","Từ 0,03% đến 0,15%","Từ 0,2% đến 0,5%",Từ 1% đến 2%,A
"Trong giao dịch chuyển nhượng bất động sản, bên bán phải đóng Thuế Thu Nhập Cá Nhân (TNCN) là 2% trên giá chuyển nhượng ghi trên hợp đồng. Tuy nhiên, trường hợp nào bên bán có thể được miễn thuế TNCN?",Nếu bên bán đã sở hữu nhiều bất động sản,Nếu bên bán là tổ chức kinh doanh,Nếu bất động sản chuyển nhượng là duy nhất và đã sở hữu trên 183 ngày,Nếu bên mua chịu toàn bộ chi phí thuế,C
Ai là đối tượng phải nộp phí thẩm định hồ sơ cấp giấy chứng nhận QSD đất?,"Người xin cấp giấy chứng nhận lần đầu hoặc khi có nhu cầu cấp đổi, cấp lại giấy chứng nhận quyền sử dụng đất",Tất cả hộ gia đình đang sử dụng đất,Người thuê đất trả tiền thuê hàng năm,Chỉ doanh nghiệp xin cấp giấy chứng nhận,A
Mức lệ phí môn bài tối đa mà doanh nghiệp kinh doanh bất động sản phải nộp hàng năm là bao nhiêu?,1.000.000 đồng,2.000.000 đồng,3.000.000 đồng,5.000.000 đồng,C
"Khi chuyển nhượng nhà đất, mức thuế thu nhập cá nhân thường được áp dụng theo cách tính phổ biến nào?",10% trên thu nhập chịu thuế,2% trên giá trị chuyển nhượng,"0,5% trên giá trị chuyển nhượng",25% trên giá trị lợi nhuận,B
"Mức thu lệ phí trước bạ đối với n hà, đất là bao nhiêu phần trăm?",1%,"0,5%",2%,5%,B
"Khi chuyển đổi mục đích sử dụng đất, hộ gia đình cần thực hiện các bướ c cơ bản nào sau đây?","Nộp hồ sơ chuyển mục đích sử dụng đất, chờ phê duyệt, thực hiện nghĩa vụ tài chính và nhận kết quả",Chỉ cần nộp hồ sơ và tự cập nhật thông tin trên GCN,Thực hiện đo đạc và tự điều chỉnh giá đất,Liên hệ trực tiếp với UBND cấp tỉnh để được miễn phí chuyển đổi,A
Những ai được m iễn thuế thu nhập cá nhân khi chuyển nhượng nhà đất?,"Người có nhiều nhà, đất",Người không có mã số thuế,"Người có quan hệ hôn nhân, huyết thống, nuôi dưỡng",Mọi trường hợp nếu giao dịch dưới 500 triệu đồng,C
"Trong giao dịch chuyển nhượng bất động sản, bên bán phải nộp Thuế Thu Nhập Cá Nhân (TNCN) theo mức 2% trên giá chuyển nhượng ghi trên hợp đồng. Trường hợp nào bên bán có thể được miễn nộp thuế này?",Khi bất động sản chuyển nhượng có giá trị thấp,Khi bất động sản chuyển nhượng là duy nhất và đã sở hữu trên 183 ngày,Khi bên mua chịu toàn bộ chi phí thuế,Khi bất động sản chuyển nhượng là của doanh nghiệp,B
"Trong một giao dịch mua bán nhà giữa anh H và chị L (quan hệ hôn nhân), bên bán có bị tính Thuế thu nhập cá nhân theo mức 2% không?","Có, vì thuế TNCN áp dụng cho mọi giao dịch chuyển nhượng","Không, vì giao dịch giữa người có quan hệ hôn nhân được miễn thuế TNCN","Có, nhưng thuế TNCN được tính theo biểu lũy tiến",,B
"Theo quy định pháp luật, thuế suất Thuế Thu nhập cá nhân (TNCN) đối với thu nhập từ chuyển nhượng bất động sản hiện hành là bao nhiêu?",5% trên giá trị chuyển nhượng,10% trên thu nhập tính thuế,2% trên giá chuyển nhượng,Áp dụng biểu thuế lũy tiến từng phần,A
Đâu là những loại thuế chính mà các doanh nghiệp kinh doanh bất động sản phải nộp ?,Thuế Thu nhập cá nhân (TNCN),Thuế thu nhập doanh nghiệp,Lệ phí Môn bài,Cả B và C đều đúng,B
"Đối với doanh nghiệp kinh doanh bất động sản, thuế suất Thuế Thu nhập doanh nghiệp (TNDN) chung là bao nhiêu?",25%,20%,15%,Tùy thuộc vào quy mô doanh thu,B
Lệ phí trước bạ khi mua bán bất động sản được tính dựa trên cơ sở nào?,Giá trị hợp đồng mua bán,"Giá đất theo bảng giá đất của tỉnh, thành phố",Giá trị tính lệ phí trước bạ theo quy định của pháp luật,Giá đất được ghi trong Giấy chứng nhận quyền sử dụng đất,B
10% trên hoa hồng,20% trên hoa hồng,5% trên hoa hồng,Theo biểu thuế lũy tiến từng phần,,A
Tiền sử dụng đất khi chuyển mục đích sử dụng đất được tính dựa trên văn bản nào?,Luật Đất đai,Luật đất đai và Nghị định quy định chi tiết về tiền sử dụng đất,Quyết định của Ủy ban nhân dân cấp tỉnh,"Cả A, B và C đều đúng",B
"Theo Nghị định 125/2020/NĐ-CP, hành vi khai sai, khai không đầy đủ hồ sơ thuế dẫn đến thiếu số tiền thuế phải nộp sẽ bị xử phạt như thế nào?",Chỉ bị truy thu thuế,Bị phạt tiền và truy thu thuế,"Bịphạttiền,truythuthuếvàbuộcnộptiềnchậmnộp",Bị truy cứu trách nhiệm hình sự,C
Mức phạt tiền chậm nộp thuế được tính như thế nào?,"0,03% mỗi ngày trên số tiền thuế chậm nộp","0,05% mỗi ngày trên số tiền thuế chậm nộp","0,07% mỗi ngày trên số tiền thuế chậm nộp","0,01% mỗi ngày trên số tiền thuế chậm nộp",A
Lệ phí trước bạ có phải là một loại thuế không?,"Có, là một loại thuế trực thu","Có, là một loại thuế gián thu","Không, là một loại lệ phí hành chính","Không, là một loại phí dịch vụ công",C
Thu nhập từ chuyển nhượng bất động sản của doanh nghiệp có được bù trừ lỗ từ các hoạt động kinh doanh khác không?,"Có, được bù trừ hoàn toàn","Không, phải xác định và kê khai riêng",Được bù trừ nếu lỗ từ hoạt động kinh doanh chính,Tùy thuộc vào quyết định của cơ quan thuế,B
Phí thẩm định hồ sơ cấp giấy chứng nhận quyền sử dụng đất có mức thu cố định trên toàn quốc không?,"Có, được quy định bởi Bộ Tài chính","Có, được quy định bởi Bộ Tài nguyên và Môi trường","Không, mức thu tùy thuộc vào từng địa phương","Không, được quy định bởi từng cơ quan cấp giấy chứng nhận",C
